show,year,rating,imdb,rotten_tomatoes
33,Manifest,2018,16+,7.2,57%
34,The Resident,2018,16+,7.6,N/A
35,Quantum Leap,1989,7+,8.1,N/A
36,Star Trek: Enterprise,2001,7+,7.5,50%
37,Saturday Night Live,1975,16+,8.1,N/A
38,Stargate Atlantis,2004,7+,8.1,N/A
39,Fairy Tail,2009,16+,8.0,N/A
40,The Middle,2009,7+,7.5,N/A
41,Invader Zim,2001,7+,8.3,100%
42,black-ish,2014,7+,7.1,91%
43,Survivor,2000,7+,7.2,N/A
44,Catch-22,2019,18+,7.8,84%
45,Cheers,1982,7+,7.8,N/A
46,Wilfred,2011,18+,7.8,83%
47,Steven Universe,2013,7+,8.2,N/A
48,Pokémon,1997,7+,7.5,N/A
49,Hellsing Ultimate,2006,18+,8.3,80%
0,Drake & Josh,2004,7+,7.7,N/A
1,Ugly Betty,2006,7+,6.5,97%
2,Marvel's Cloak & Dagger,2018,16+,6.7,87%
3,M*A*S*H,1972,7+,8.4,N/A
4,Wayward Pines,2015,16+,7.4,61%
5,Nashville,2012,7+,7.7,90%
6,The Unit,2006,16+,8.1,84%
7,Mayans M.C.,2018,18+,7.5,86%
8,Mr Inbetween,2018,18+,8.3,95%
9,Home Movies,1999,7+,8.0,100%
10,For Life,2020,16+,7.5,86%
11,Sailor Moon,1992,16+,7.7,90%
12,Letterkenny,2016,18+,8.7,N/A
13,The Goldbergs,2013,7+,8.1,N/A
14,MythBusters,2003,7+,8.3,N/A
15,Don't Trust the B---- in Apartment 23,2012,16+,7.3,85%
16,NYPD Blue,1993,18+,7.5,84%
17,I Love Lucy,1951,all,8.4,N/A
18,Ramy,2019,18+,8.0,97%
19,Graceland,2013,16+,7.7,86%
20,JoJo's Bizarre Adventure,2012,18+,8.4,N/A
21,One Tree Hill,2003,16+,7.6,N/A
22,Afro Samurai,2007,18+,7.7,100%
23,CSI: Crime Scene Investigation,2000,16+,7.6,N/A
24,Cougar Town,2009,7+,6.9,89%
25,Bunheads,2012,16+,7.6,100%
26,Regular Show,2010,7+,8.4,N/A
27,Scream Queens,2015,16+,7.1,75%
28,Terriers,2010,18+,8.4,92%
29,Married... with Children,1987,7+,8.0,N/A
30,Emergence,2019,16+,7.2,94%
31,Motherland: Fort Salem,2020,16+,6.8,58%
32,Genius,2017,7+,8.4,70%
33,ERASED,2016,16+,8.5,N/A
34,Last Man Standing,2011,16+,7.6,N/A
35,The Looming Tower,2018,18+,8.0,88%
36,The Promised Neverland,2019,18+,8.8,N/A
37,UnREAL,2015,18+,7.8,82%
38,The Hitchhiker's Guide to the Galaxy,1981,7+,8.0,67%
39,The Wonder Years,1988,7+,8.3,N/A
40,Witches of East End,2013,16+,7.6,65%
41,Blackadder,1983,7+,8.1,N/A
42,Pinky and the Brain,1995,all,7.8,75%
43,Baskets,2016,18+,7.5,92%
44,Will & Grace,1998,16+,7.2,N/A
45,Harlots,2017,18+,7.7,98%
46,Robot Chicken,2005,18+,7.7,N/A
47,Roseanne,1988,7+,7.0,76%
48,The Hot Zone,2019,16+,7.3,90%
