show,year,rating,imdb,rotten_tomatoes
424,Magnificent Century,2011,N/A,6.6,N/A
425,The Innocent Man,2018,18+,7.4,73%
426,Losers,2019,N/A,7.7,100%
427,Friends from College,2017,18+,6.8,24%
428,Mr. Sunshine,2018,N/A,8.8,N/A
429,Comedians in Cars Getting Coffee,2012,16+,8.1,N/A
430,Clannad,2007,7+,7.9,N/A
431,A.D. The Bible Continues,2015,16+,7.4,58%
432,Jericho,2006,16+,7.2,54%
433,Masum,2017,16+,8.5,N/A
434,Mr. Iglesias,2019,16+,7.1,88%
435,Wormwood,2017,16+,7.0,92%
436,Damnation,2017,18+,7.7,64%
437,Hot Girls Wanted: Turned On,2017,18+,6.7,100%
438,The Pharmacist,2020,N/A,7.8,N/A
439,Wet Hot American Summer: First Day of Camp,2015,16+,7.4,N/A
440,Gilmore Girls: A Year in the Life,2016,16+,7.7,N/A
441,Taken,2017,16+,6.6,32%
442,Tuca & Bertie,2019,16+,7.4,100%
443,La Reina del Sur,2011,18+,8.1,N/A
444,Cable Girls,2017,16+,7.7,N/A
445,The Time in Between,2013,7+,8.4,N/A
446,Borgia,2011,18+,7.8,N/A
447,Love 101,2020,18+,7.7,N/A
448,Lovesick,2014,18+,8.1,36%
449,Good Witch,2015,7+,7.3,N/A
450,In the Dark,2019,16+,7.3,N/A
451,Forensic Files,1996,16+,8.8,N/A
452,Explained,2018,16+,8.0,N/A
453,Toy Boy,2019,18+,6.5,N/A
454,Cleverman,2016,16+,6.4,86%
455,Paradise PD,2018,18+,7.0,40%
456,Bitten,2014,16+,7.0,N/A
457,"Pablo Escobar, The Drug Lord",2012,18+,8.5,N/A
458,Giri/Haji,2019,N/A,7.9,100%
459,Sunderland 'Til I Die,2018,18+,8.2,N/A
460,The Letter for the King,2020,7+,5.9,58%
461,The Gift,2019,N/A,7.6,N/A
462,We Bare Bears,2015,7+,7.9,N/A
463,American Odyssey,2015,16+,7.3,54%
464,Humsafar,2011,all,9.0,N/A
465,Norsemen,2016,18+,7.8,N/A
466,How to Sell Drugs Online (Fast),2019,N/A,7.9,N/A
467,Liv and Maddie,2013,all,6.3,N/A
468,Lady Dynamite,2016,16+,7.4,97%
469,Puella Magi Madoka Magica,2011,16+,8.3,N/A
470,The House of Flowers,2018,18+,7.7,N/A
471,Vagabond,2019,N/A,8.3,N/A
472,Carole & Tuesday,2019,7+,7.9,100%
473,Grand Designs,1999,7+,8.5,N/A
474,Quicksand,2019,18+,7.5,N/A
475,The Innocents,2018,N/A,6.3,81%
476,Transformers: Prime,2010,7+,7.8,N/A
477,Tabula Rasa,2017,18+,8.1,N/A
478,The Untamed,2019,7+,8.9,N/A
479,The Messengers,2015,16+,6.5,47%
480,Crashing,2016,N/A,7.7,N/A
481,#blackAF,2020,18+,6.6,N/A
482,AJ and the Queen,2020,N/A,7.6,50%
483,The Code,2011,N/A,7.4,100%
484,From Dusk Till Dawn: The Series,2014,18+,6.9,N/A
485,Diagnosis,2019,18+,7.8,100%
486,Car Masters: Rust to Riches,2018,N/A,8.9,N/A
487,Beastars,2019,16+,8.0,N/A
488,Greenhouse Academy,2017,7+,7.0,N/A
489,Rotten,2018,18+,7.1,86%
490,Vampire Knight,2008,16+,7.5,N/A
491,"The Mind, Explained",2019,16+,8.1,N/A
492,The New Legends of Monkey,2018,7+,6.5,100%
493,Van Helsing,2016,16+,6.2,N/A
494,The Letdown,2017,N/A,7.5,91%
495,Queen Sono,2020,18+,5.8,100%
496,The Story of God with Morgan Freeman,2016,16+,7.9,N/A
497,Arthdal Chronicles,2019,N/A,8.3,N/A
498,Lab Rats,2012,7+,6.6,N/A
499,Magi,2012,16+,7.9,N/A
500,Hinterland,2013,N/A,7.6,N/A
501,Requiem,2018,18+,6.5,75%
502,The Devil Is a Part-Timer!,2013,16+,7.7,N/A
503,October Faction,2020,18+,6.1,33%
504,Adam Ruins Everything,2015,16+,8.0,N/A
505,Rhythm + Flow,2019,18+,7.6,92%
506,V Wars,2019,18+,6.1,N/A
507,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,7.4,N/A
508,Crossing Lines,2013,16+,7.3,N/A
509,Oliver Stone's Untold History of the United States,2012,all,8.6,N/A
510,El marginal,2016,18+,8.2,N/A
511,W/ Bob & David,2015,18+,7.4,89%
512,Girlboss,2017,18+,7.0,36%
513,Rubí,2004,7+,8.1,N/A
514,Occupied,2015,16+,7.7,N/A
515,The Five,2016,N/A,7.7,N/A
516,Durarara!!,2010,16+,7.9,N/A
517,Seis Manos,2019,18+,7.3,100%
518,The Boat,2011,all,7.3,N/A
519,Teresa,2010,7+,7.7,N/A
520,How to Fix a Drug Scandal,2020,18+,6.9,86%
521,Robotech,1985,7+,8.5,N/A
