show,year,rating,imdb,rotten_tomatoes
353,Wildfire,2005,16+,7.5,N/A
354,Falling Water,2016,16+,6.5,28%
355,Thomas & Friends,1984,all,6.6,N/A
356,Kung Fu Panda: The Paws of Destiny,2018,7+,7.7,N/A
357,Ghost Hunters,2004,7+,6.2,N/A
358,Macross,1982,7+,8.6,N/A
359,John from Cincinnati,2007,N/A,7.1,50%
360,R. L. Stine's The Haunting Hour,2010,7+,8.0,N/A
361,Outrageous Fortune,2005,18+,8.3,N/A
362,Baywatch,1989,7+,5.3,N/A
363,Frontline,1983,18+,8.5,N/A
364,The Feed,2019,N/A,6.2,57%
365,The Darling Buds of May,1991,7+,7.8,N/A
366,The Backyardigans,2004,7+,6.9,N/A
367,Moon Embracing the Sun,2012,7+,8.0,N/A
368,City Homicide,2001,N/A,7.4,N/A
369,Deadly Women,2005,16+,8.0,N/A
370,Highway to Heaven,1984,7+,6.7,N/A
371,Hell Girl,2005,18+,7.5,N/A
372,Bubble Guppies,2011,all,6.5,N/A
373,Luck,2012,18+,7.5,N/A
374,Earth: Final Conflict,1997,7+,6.2,N/A
375,A Touch of Cloth,2012,16+,8.0,N/A
376,Mr. Bean: The Animated Series,2002,all,6.8,N/A
377,Appropriate Adult,2011,18+,7.5,N/A
378,Ted Bundy: Falling for a Killer,2020,18+,7.9,N/A
379,Whose Line Is It Anyway? (UK),1988,7+,8.2,N/A
380,Code Lyoko,2003,7+,7.3,N/A
381,7th Heaven,1996,7+,5.2,N/A
382,The Young Riders,1989,7+,7.8,N/A
383,Beyond Belief: Fact or Fiction,1998,7+,8.0,N/A
384,Wild Kratts,2011,all,7.7,N/A
385,Cybill,1995,7+,6.8,N/A
386,Inazuma Eleven,2008,7+,7.9,N/A
387,Thunderbirds,1965,7+,7.8,N/A
388,The Bold and the Beautiful,1987,16+,3.4,N/A
389,Drifters,2013,18+,7.7,N/A
390,The National Parks: America's Best Idea,2009,16+,8.6,N/A
391,Cagney & Lacey,1982,7+,6.7,N/A
392,The Tribe,2001,7+,7.7,N/A
393,The Bible,2013,16+,7.5,14%
